144, 18, 10
146, 20, 12
147, 20, 12
146, 20, 11
146, 20, 11
146, 20, 11
146, 19, 11
147, 21, 12
145, 19, 9
145, 20, 11
145, 19, 10
145, 19, 10
140, 20, 12
146, 17, 11
147, 19, 11
145, 19, 10
147, 18, 11
146, 20, 11
145, 19, 12
144, 19, 10
145, 19, 10
147, 20, 14
145, 18, 11
145, 18, 11
144, 19, 11
145, 20, 12
147, 21, 13
145, 18, 10
144, 18, 9
147, 20, 11
147, 21, 12
147, 20, 11
147, 21, 13
145, 19, 12
146, 19, 12
145, 18, 10
145, 19, 10
147, 20, 11
146, 20, 11
147, 20, 11
145, 19, 10
146, 19, 10
146, 20, 11
146, 19, 11
148, 21, 12
145, 19, 10
146, 20, 11
146, 19, 11
146, 20, 11
147, 20, 12
146, 20, 11
146, 20, 11
147, 20, 11
147, 20, 11
147, 21, 12
147, 21, 12
146, 20, 11
146, 20, 12
145, 19, 10
144, 18, 10
148, 21, 12
148, 21, 12
147, 19, 11
146, 20, 11
146, 20, 11
146, 19, 10
143, 22, 12
147, 19, 11
145, 19, 10
147, 22, 13
146, 20, 12
147, 21, 12
145, 21, 10
144, 18, 10
145, 18, 11
145, 18, 11
145, 20, 12
146, 19, 11
146, 20, 12
146, 19, 11
146, 20, 11
146, 20, 11
147, 19, 11
144, 18, 10
145, 19, 11
144, 18, 10
145, 19, 11
146, 20, 12
145, 20, 12
146, 19, 11
146, 19, 11
145, 19, 11
144, 19, 12
145, 21, 12
146, 21, 13
145, 20, 12
144, 18, 11
146, 20, 11
145, 19, 10
146, 20, 11
145, 19, 10
146, 20, 12
147, 21, 13
147, 21, 12
145, 20, 12
147, 21, 13
146, 20, 12
146, 20, 12
145, 20, 12
144, 19, 10
146, 19, 11
146, 20, 12
145, 18, 11
145, 20, 12
145, 20, 12
146, 20, 12
144, 19, 11
145, 21, 12
146, 20, 12
146, 21, 12
147, 21, 13
146, 21, 12
145, 19, 9
146, 20, 11
147, 20, 12
146, 20, 10
147, 23, 10
146, 21, 12
146, 20, 12
146, 21, 12
146, 21, 12
147, 20, 12
146, 21, 12
146, 21, 11
148, 21, 12
147, 20, 11
146, 19, 11
147, 20, 11
148, 21, 13
146, 19, 11
147, 21, 12
146, 21, 11
146, 20, 11
146, 20, 11
146, 19, 11
146, 19, 11
147, 20, 12
146, 19, 11
147, 20, 11
146, 19, 11
146, 19, 11
144, 19, 11
144, 19, 10
146, 19, 11
145, 18, 10
145, 19, 11
145, 18, 10
146, 19, 11
145, 18, 10
145, 19, 10
145, 15, 10
146, 20, 11
146, 19, 12
146, 20, 13
145, 19, 11
146, 20, 12
146, 20, 12
145, 19, 11
145, 19, 11
146, 20, 12
146, 20, 12
145, 18, 11
145, 19, 10
145, 19, 11
145, 19, 11
145, 19, 11
146, 20, 12
146, 20, 11
145, 19, 11
144, 19, 11
144, 19, 10
146, 20, 12
145, 19, 11
145, 19, 11
144, 19, 11
146, 19, 12
146, 19, 10
145, 19, 11
145, 17, 10
145, 19, 11
145, 19, 12
146, 19, 11
145, 19, 10
147, 20, 12
146, 20, 11
148, 19, 12
142, 19, 9
146, 19, 10
146, 19, 11
145, 20, 11
146, 20, 11
148, 20, 12
146, 20, 11
146, 20, 11
146, 21, 12
146, 21, 12
145, 20, 12
145, 20, 12
146, 20, 11
146, 19, 11
146, 20, 11
148, 21, 13
146, 20, 12
145, 19, 11
146, 21, 12
145, 19, 10
144, 18, 11
144, 18, 11
146, 19, 11
144, 21, 11
145, 19, 10
146, 20, 8
146, 21, 12
145, 19, 11
145, 20, 12
144, 19, 11
145, 19, 11
146, 20, 12
